region_id,region_name,governorate,terrain_type,altitude_m,forest_cover_pct,annual_rainfall_mm,avg_temp_jan_c,avg_temp_may_c,avg_temp_aug_c,uv_index_may,wind_speed_may_kmh,river_streams_count,wildlife_diversity_score,trail_count,nearest_city_km,accessibility_score,campsite_count,monthly_visitors_may,monthly_visitors_aug,req_group_size,req_adventure_level,req_comfort_level,req_duration_days,req_month,activity_tag_match,regional_suitability_score,recommended
1,Kroumirie Mountains,Jendouba,Forest,900,78,1500,8,18,28,4,14,12,88,23,45,82,6,1200,3800,6,1,3,5,5,3,94,1
1,Kroumirie Mountains,Jendouba,Forest,900,78,1500,8,18,28,4,14,12,88,23,45,82,6,1200,3800,2,3,1,2,8,0,38,0
1,Kroumirie Mountains,Jendouba,Forest,900,78,1500,8,18,28,4,14,12,88,23,45,82,6,1200,3800,4,1,3,4,5,3,91,1
1,Kroumirie Mountains,Jendouba,Forest,900,78,1500,8,18,28,4,14,12,88,23,45,82,6,1200,3800,8,2,3,7,5,2,85,1
1,Kroumirie Mountains,Jendouba,Forest,900,78,1500,8,18,28,4,14,12,88,23,45,82,6,1200,3800,6,1,3,5,8,3,72,1
2,Chambi National Park,Kasserine,Mountain,1544,42,620,2,14,30,6,32,6,76,18,85,65,3,420,1100,1,3,1,3,5,3,88,1
2,Chambi National Park,Kasserine,Mountain,1544,42,620,2,14,30,6,32,6,76,18,85,65,3,420,1100,8,1,4,7,5,0,22,0
2,Chambi National Park,Kasserine,Mountain,1544,42,620,2,14,30,6,32,6,76,18,85,65,3,420,1100,2,3,2,3,5,3,81,1
2,Chambi National Park,Kasserine,Mountain,1544,42,620,2,14,30,6,32,6,76,18,85,65,3,420,1100,3,3,1,2,3,3,76,1
2,Chambi National Park,Kasserine,Mountain,1544,42,620,2,14,30,6,32,6,76,18,85,65,3,420,1100,4,2,2,4,8,2,58,0
3,Northwest Coast,Jendouba,Coastal Forest,40,55,900,12,22,30,8,22,3,65,14,15,90,8,2800,9500,4,1,3,3,5,3,79,1
3,Northwest Coast,Jendouba,Coastal Forest,40,55,900,12,22,30,8,22,3,65,14,15,90,8,2800,9500,8,1,3,4,8,2,73,1
3,Northwest Coast,Jendouba,Coastal Forest,40,55,900,12,22,30,8,22,3,65,14,15,90,8,2800,9500,1,3,1,2,5,0,41,0
3,Northwest Coast,Jendouba,Coastal Forest,40,55,900,12,22,30,8,22,3,65,14,15,90,8,2800,9500,6,1,2,3,3,2,70,1
4,Ichkeul National Park,Bizerte,Wetlands,25,30,750,10,20,28,5,18,5,95,9,30,78,4,650,1200,4,1,3,4,4,3,84,1
4,Ichkeul National Park,Bizerte,Wetlands,25,30,750,10,20,28,5,18,5,95,9,30,78,4,650,1200,12,1,4,7,5,0,18,0
4,Ichkeul National Park,Bizerte,Wetlands,25,30,750,10,20,28,5,18,5,95,9,30,78,4,650,1200,2,1,2,3,4,3,80,1
5,Cap Bon Peninsula,Nabeul,Coastal,30,12,550,14,24,33,9,25,2,52,10,25,85,5,4200,12000,4,1,3,3,5,3,71,1
5,Cap Bon Peninsula,Nabeul,Coastal,30,12,550,14,24,33,9,25,2,52,10,25,85,5,4200,12000,2,1,3,3,8,3,63,0
5,Cap Bon Peninsula,Nabeul,Coastal,30,12,550,14,24,33,9,25,2,52,10,25,85,5,4200,12000,10,2,3,5,8,1,49,0
6,Zaghouan Mountain,Zaghouan,Mountain,750,35,680,6,17,31,5,20,8,70,16,55,72,4,380,800,3,2,2,4,4,3,77,1
6,Zaghouan Mountain,Zaghouan,Mountain,750,35,680,6,17,31,5,20,8,70,16,55,72,4,380,800,6,1,3,5,5,2,72,1
6,Zaghouan Mountain,Zaghouan,Mountain,750,35,680,6,17,31,5,20,8,70,16,55,72,4,380,800,1,3,1,2,8,3,69,0
7,Tozeur Desert,Tozeur,Desert,20,2,100,10,30,42,11,12,0,38,5,120,55,3,280,1800,2,2,1,2,4,3,85,1
7,Tozeur Desert,Tozeur,Desert,20,2,100,10,30,42,11,12,0,38,5,120,55,3,280,1800,12,1,4,7,5,0,12,0
7,Tozeur Desert,Tozeur,Desert,20,2,100,10,30,42,11,12,0,38,5,120,55,3,280,1800,1,3,1,2,10,3,55,0
8,Kesra Plateau,Siliana,Highland,1000,28,580,4,16,29,5,22,4,62,12,80,60,3,180,450,2,2,2,3,4,3,74,1
8,Kesra Plateau,Siliana,Highland,1000,28,580,4,16,29,5,22,4,62,12,80,60,3,180,450,10,1,3,5,5,1,52,0
8,Kesra Plateau,Siliana,Highland,1000,28,580,4,16,29,5,22,4,62,12,80,60,3,180,450,2,1,2,3,4,2,68,0
9,Bou Hedma National Park,Sidi Bouzid,Semi-Arid Savannah,400,15,280,12,26,38,9,18,1,80,8,95,48,2,150,320,2,2,1,3,4,3,70,1
